epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,9175.01,0.90205,1.56788,0.59526,1.07735,0.86732,0.91499,0.92656,0.86248,0.87091,0.92063,0.92947,0.83293,0.3951,0.76973,0.43173,0.89012,0.0007988,0.0007988,0.0007988
93,9552.64,0.90345,1.60058,0.6011,1.07242,0.87888,0.92641,0.93057,0.86952,0.88258,0.93074,0.92916,0.83791,0.3971,0.74868,0.43394,0.88428,0.0007856,0.0007856,0.0007856
94,9945.65,0.89619,1.58703,0.61974,1.06853,0.86795,0.92946,0.92607,0.86281,0.87327,0.92208,0.92734,0.83834,0.40782,0.7422,0.42553,0.89629,0.0007724,0.0007724,0.0007724
95,10338.5,0.89872,1.5812,0.58092,1.06637,0.86818,0.92184,0.92613,0.86511,0.87225,0.92617,0.92848,0.82427,0.39548,0.75599,0.43131,0.89209,0.0007592,0.0007592,0.0007592
96,10714.6,0.87576,1.52164,0.5891,1.05901,0.85365,0.92584,0.91906,0.85581,0.85133,0.92929,0.92135,0.82708,0.39484,0.77085,0.44604,0.88904,0.000746,0.000746,0.000746
97,11102.4,0.86716,1.51466,0.57793,1.05757,0.86726,0.92208,0.92419,0.86521,0.87194,0.92641,0.92726,0.83194,0.39364,0.76286,0.4218,0.88649,0.0007328,0.0007328,0.0007328
98,11494.7,0.87321,1.55476,0.58376,1.06116,0.84506,0.93506,0.92768,0.86687,0.84767,0.93795,0.92918,0.83535,0.38828,0.77804,0.43428,0.88911,0.0007196,0.0007196,0.0007196
99,11865,0.87058,1.51674,0.58159,1.0546,0.86257,0.93939,0.92923,0.86354,0.86679,0.94372,0.93064,0.83955,0.40544,0.79423,0.4273,0.90062,0.0007064,0.0007064,0.0007064
100,12260.7,0.87306,1.54745,0.56684,1.05956,0.86728,0.93218,0.92893,0.86886,0.87817,0.92572,0.92918,0.83108,0.39003,0.76009,0.42819,0.88683,0.0006932,0.0006932,0.0006932
101,12864.2,0.88133,1.54102,0.56254,1.0566,0.87404,0.91919,0.92882,0.86474,0.87953,0.92496,0.93095,0.84989,0.40099,0.75653,0.42551,0.89302,0.00068,0.00068,0.00068
102,13447.6,0.85417,1.51789,0.5565,1.04146,0.87602,0.92782,0.93058,0.8669,0.87738,0.92927,0.93164,0.84051,0.39025,0.74662,0.43526,0.88673,0.0006668,0.0006668,0.0006668
103,14013.2,0.86353,1.51143,0.55454,1.05366,0.8795,0.92929,0.933,0.87118,0.88086,0.93074,0.93477,0.84448,0.39848,0.76632,0.41589,0.89439,0.0006536,0.0006536,0.0006536
104,14481.6,0.86426,1.51561,0.56015,1.05488,0.88651,0.91919,0.92906,0.86915,0.89253,0.92496,0.93209,0.83819,0.39445,0.77314,0.42354,0.89229,0.0006404,0.0006404,0.0006404
